Image	BBox	Label
img_122677.jpg	[736, 920, 832, 957]	plate
img_123284.jpg	[593, 736, 660, 757]	plate
img_123284.jpg	[470, 554, 497, 573]	plate
img_123487.jpg	[1199, 1266, 1315, 1323]	plate
img_123892.jpg	[1385, 1173, 1460, 1223]	plate
img_124094.jpg	[1278, 1368, 1380, 1444]	plate
img_124297.jpg	[199, 515, 267, 563]	plate
img_124904.jpg	[1260, 892, 1326, 928]	plate
img_125106.jpg	[701, 889, 784, 933]	plate
img_125309.jpg	[967, 1101, 1023, 1152]	plate
img_125511.jpg	[1067, 1241, 1207, 1333]	plate
img_125714.jpg	[1225, 943, 1330, 1000]	plate
img_125917.jpg	[1430, 924, 1535, 981]	plate
img_125917.jpg	[1788, 745, 1809, 770]	plate
img_125917.jpg	[1970, 845, 2017, 871]	plate
img_126119.jpg	[1359, 1186, 1413, 1239]	plate
img_126119.jpg	[824, 1055, 870, 1110]	plate
img_126321.jpg	[468, 889, 522, 921]	plate
img_126524.jpg	[919, 1006, 1007, 1069]	plate
img_126727.jpg	[1255, 1057, 1327, 1120]	plate
img_127131.jpg	[710, 845, 766, 874]	plate
img_127334.jpg	[982, 575, 1009, 593]	plate
img_127334.jpg	[499, 1040, 534, 1080]	plate
img_127537.jpg	[568, 966, 632, 1000]	plate
img_127942.jpg	[355, 1108, 393, 1143]	plate
img_127942.jpg	[356, 1104, 399, 1136]	plate
img_127942.jpg	[721, 667, 762, 685]	plate
img_127942.jpg	[721, 677, 762, 699]	plate
img_128144.jpg	[1324, 1002, 1455, 1076]	plate
img_128347.jpg	[553, 741, 610, 769]	plate
img_139282.jpg	[197, 1132, 251, 1183]	plate
img_139282.jpg	[1462, 595, 1510, 622]	plate
img_139485.jpg	[1875, 908, 1913, 950]	plate
img_139485.jpg	[1074, 317, 1112, 337]	plate
img_139688.jpg	[198, 1157, 245, 1217]	plate
img_140091.jpg	[281, 1327, 357, 1398]	plate
img_140091.jpg	[1115, 445, 1148, 470]	plate
img_140091.jpg	[1260, 422, 1288, 448]	plate
img_140294.jpg	[1084, 399, 1112, 421]	plate
img_140497.jpg	[1581, 866, 1678, 907]	plate
img_140901.jpg	[314, 1106, 470, 1182]	plate
img_141103.jpg	[520, 892, 656, 956]	plate
img_141306.jpg	[1735, 1061, 1825, 1102]	plate
img_141306.jpg	[1234, 452, 1268, 480]	plate
img_141509.jpg	[1411, 1346, 1497, 1418]	plate
img_141711.jpg	[498, 943, 620, 1009]	plate
img_141711.jpg	[1302, 477, 1350, 505]	plate
img_141711.jpg	[85, 460, 126, 496]	plate
img_142116.jpg	[1260, 863, 1347, 900]	plate
img_142319.jpg	[768, 1284, 841, 1354]	plate
img_142521.jpg	[1100, 423, 1124, 446]	plate
img_142724.jpg	[1646, 837, 1717, 872]	plate
img_142927.jpg	[226, 1076, 362, 1172]	plate
img_143129.jpg	[1070, 327, 1102, 353]	plate
img_143534.jpg	[361, 1195, 419, 1256]	plate
img_143737.jpg	[1699, 1044, 1785, 1084]	plate
img_143737.jpg	[203, 552, 259, 588]	plate
img_143737.jpg	[1029, 416, 1067, 435]	plate
img_143737.jpg	[1064, 433, 1099, 459]	plate
img_143737.jpg	[1060, 427, 1093, 451]	plate
img_144141.jpg	[178, 1141, 308, 1247]	plate
img_144344.jpg	[210, 1117, 273, 1174]	plate
img_144547.jpg	[1713, 1020, 1778, 1069]	plate
img_144547.jpg	[1183, 435, 1227, 471]	plate
img_144952.jpg	[891, 530, 971, 568]	plate
img_145154.jpg	[1416, 648, 1445, 676]	plate
img_145154.jpg	[1338, 671, 1362, 711]	plate
img_145154.jpg	[1338, 654, 1357, 690]	plate
img_62998.jpg	[1863, 872, 1961, 928]	plate
img_63401.jpg	[1863, 873, 1962, 928]	plate
img_63604.jpg	[1867, 875, 1960, 929]	plate
img_63604.jpg	[1025, 390, 1062, 412]	plate
img_63807.jpg	[1698, 717, 1724, 750]	plate
img_64009.jpg	[1748, 726, 1784, 757]	plate
img_64211.jpg	[905, 522, 937, 553]	plate
img_64414.jpg	[558, 444, 579, 477]	plate
img_65427.jpg	[1431, 738, 1503, 769]	plate
img_65427.jpg	[601, 761, 637, 796]	plate
img_65832.jpg	[1384, 645, 1448, 674]	plate
img_66034.jpg	[1957, 1050, 2044, 1110]	plate
img_66034.jpg	[602, 426, 634, 453]	plate
img_66034.jpg	[1879, 1222, 2034, 1287]	plate
img_66237.jpg	[976, 409, 1003, 438]	plate
img_67452.jpg	[1049, 440, 1083, 470]	plate
img_67655.jpg	[878, 498, 918, 531]	plate
img_67858.jpg	[736, 433, 782, 463]	plate
img_68465.jpg	[1491, 1457, 1562, 1532]	plate
img_68870.jpg	[542, 887, 661, 941]	plate
img_69478.jpg	[830, 531, 895, 562]	plate
img_70692.jpg	[980, 409, 1026, 447]	plate
img_70895.jpg	[1453, 665, 1515, 698]	plate
img_71097.jpg	[1695, 842, 1768, 880]	plate
img_71501.jpg	[720, 629, 809, 664]	plate
img_71501.jpg	[20, 1454, 80, 1529]	plate
img_71704.jpg	[319, 992, 387, 1048]	plate
img_72109.jpg	[805, 539, 876, 571]	plate
img_72109.jpg	[794, 626, 843, 658]	plate
img_72311.jpg	[1828, 930, 1905, 966]	plate
img_72514.jpg	[766, 645, 804, 675]	plate
img_72717.jpg	[926, 480, 957, 509]	plate
img_92765.jpg	[1363, 562, 1401, 610]	plate
img_92968.jpg	[1058, 531, 1124, 580]	plate
img_92968.jpg	[1431, 469, 1473, 493]	plate
img_93372.jpg	[694, 539, 743, 574]	plate
img_93575.jpg	[896, 676, 930, 711]	plate
img_93778.jpg	[2035, 1079, 2050, 1138]	plate
img_93980.jpg	[1604, 782, 1680, 817]	plate
img_94182.jpg	[144, 797, 238, 848]	plate
img_94385.jpg	[144, 797, 236, 849]	plate
img_94385.jpg	[924, 334, 960, 358]	plate
img_94588.jpg	[145, 799, 238, 848]	plate
img_94588.jpg	[1035, 470, 1069, 499]	plate
img_94790.jpg	[672, 898, 723, 944]	plate
img_94790.jpg	[147, 797, 237, 847]	plate
img_94993.jpg	[147, 797, 236, 845]	plate
img_94993.jpg	[886, 484, 919, 507]	plate
img_95195.jpg	[150, 798, 238, 844]	plate
img_95802.jpg	[63, 1257, 135, 1321]	plate
img_96207.jpg	[723, 715, 802, 754]	plate
img_96612.jpg	[618, 758, 714, 806]	plate
img_96815.jpg	[952, 481, 981, 507]	plate
img_97625.jpg	[793, 580, 874, 618]	plate
img_97828.jpg	[145, 1024, 298, 1118]	plate
img_98232.jpg	[1824, 1062, 1907, 1110]	plate
img_98638.jpg	[779, 600, 851, 634]	plate
img_98840.jpg	[1726, 743, 1768, 774]	plate
img_99448.jpg	[0, 1450, 49, 1539]	plate
img_99650.jpg	[1593, 652, 1622, 690]	plate
